# Pinout for LFE5UM-85F,,,,
,,,,
# Revision 0.1,,,,
# Status Preliminary,,,,
# Revised 9-Jan-24,,,,
# First extraction,,,,
,,,,
,,,,
,,,,
PADN,DIEPAD,PADX,PADY,CABGA381
1,NC1,-3118.185,3180.654,Unused
2,NC4,-3118.185,3070.044,Unused
3,NC5,-3118.185,2983.05,Unused
4,NC6,-3118.185,2896.056,Unused
5,NC7,-3118.185,2809.062,Unused
6,PL11A,-3118.185,2722.068,A4
7,PL11B,-3118.185,2635.074,A5
8,VSSIO7,-3118.185,2500.344,GND
9,PL11C,-2934.315,2452.635,B5
10,VCCIO7,-3118.185,2413.35,VCCIO7
11,PL11D,-2934.315,2365.641,C5
12,PL14A,-3021.061,2329.083,C4
13,VCCAUX,-3118.185,2326.356,VCCAUX
14,PL14C,-2934.315,2278.647,A3
15,PL14B,-3021.061,2242.089,B4
16,VSS,-3118.185,2239.362,GND
17,PL14D,-2934.315,2191.653,B3
18,PL17A,-3021.061,2157.471,E4
19,VCC,-3118.185,2154.744,VCC
20,PL17C,-2934.315,2107.035,C3
21,PL17B,-3021.061,2070.477,D5
22,VSS,-3118.185,2067.75,GND
23,PL17D,-2934.315,2020.041,D3
24,PL20A,-3021.061,1983.483,F4
25,VSSIO7,-3118.185,1980.756,GND
26,PL20C,-2934.315,1933.047,E5
27,PL20B,-3021.061,1896.489,E3
28,VCCIO7,-3118.185,1893.762,VCCIO7
29,PL20D,-2934.315,1846.053,F5
30,PL23A,-3021.061,1736.253,Unused
31,VSSIO7,-3118.185,1733.526,GND
32,PL23C,-2934.315,1685.817,Unused
33,PL23B,-3021.061,1649.259,Unused
34,VCCIO7,-3118.185,1646.532,VCCIO7
35,PL23D,-2934.315,1598.823,Unused
36,PL26A,-3021.061,1562.265,Unused
37,VCCAUX,-3118.185,1559.538,VCCAUX
38,PL26C,-2934.315,1511.829,Unused
39,PL26B,-3021.061,1475.271,Unused
40,VSS,-3118.185,1472.544,GND
41,PL26D,-2934.315,1424.835,Unused
42,PL29A,-3021.061,1390.653,Unused
43,VCC,-3118.185,1387.926,VCC
44,PL29C,-2934.315,1340.217,Unused
45,PL29B,-3021.061,1303.659,Unused
46,VSS,-3118.185,1300.932,GND
47,PL29D,-2934.315,1253.223,Unused
48,PL32A,-3021.061,1216.665,Unused
49,VSSIO7,-3118.185,1213.938,GND
50,PL32C,-2934.315,1166.229,Unused
51,PL32B,-3021.061,1129.671,Unused
52,VCCIO7,-3118.185,1126.944,VCCIO7
53,PL32D,-2934.315,1079.235,Unused
54,PL35A,-3021.061,1032.624,A2
55,VSSIO7,-3118.185,1029.897,GND
56,PL35C,-2934.315,982.188,B2
57,PL35B,-3021.061,945.63,B1
58,VCCIO7,-3118.185,942.903,VCCIO7
59,PL35D,-2934.315,895.194,C2
60,PL38A,-3021.061,858.636,C1
61,VCCAUX,-3118.185,855.909,VCCAUX
62,PL38C,-2934.315,808.2,D2
63,PL38B,-3021.061,771.642,D1
64,VSS,-3118.185,768.915,GND
65,PL38D,-2934.315,721.206,E1
66,PL41A,-3021.061,687.024,H4
67,VCC,-3118.185,684.297,VCC
68,PL41C,-2934.315,636.588,H5
69,PL41B,-3021.061,600.03,G5
70,VSS,-3118.185,597.303,GND
71,PL41D,-2934.315,549.594,H3
72,PL44A,-3021.061,513.036,G3
73,VSSIO7,-3118.185,510.309,GND
74,PL44C,-2934.315,462.6,F2
75,PL44B,-3021.061,426.042,F3
76,VCCIO7,-3118.185,423.315,VCCIO7
77,PL44D,-2934.315,375.606,E2
78,PL47A,-3021.061,203.796,G2
79,VSSIO6,-3118.185,201.069,GND
80,PL47C,-2934.315,153.36,H2
81,PL47B,-3021.061,116.802,F1
82,VCCIO6,-3118.185,114.075,VCCIO6
83,PL47D,-2934.315,66.366,G1
84,PL50A,-3021.061,29.808,J4
85,VCCAUX,-3118.185,27.081,VCCAUX
86,PL50C,-2934.315,-20.628,J3
87,PL50B,-3021.061,-57.186,J5
88,VSS,-3118.185,-59.913,GND
89,PL50D,-2934.315,-107.622,K3
90,PL53A,-3021.061,-141.804,K2
91,VCC,-3118.185,-144.531,VCC
92,PL53C,-2934.315,-192.24,H1
93,PL53B,-3021.061,-228.798,J1
94,VSS,-3118.185,-231.525,GND
95,PL53D,-2934.315,-279.234,K1
96,PL56A,-3021.061,-315.792,K4
97,VSSIO6,-3118.185,-318.519,GND
98,PL56C,-2934.315,-366.228,L4
99,PL56B,-3021.061,-402.786,K5
100,VCCIO6,-3118.185,-405.513,VCCIO6
101,PL56D,-2934.315,-453.222,L5
102,PL59A,-3021.061,-499.833,Unused
103,VSSIO6,-3118.185,-502.56,GND
104,PL59C,-2934.315,-550.269,Unused
105,PL59B,-3021.061,-586.827,Unused
106,VCCIO6,-3118.185,-589.554,VCCIO6
107,PL59D,-2934.315,-637.263,Unused
108,PL62A,-3021.061,-673.821,Unused
109,VCCAUX,-3118.185,-676.548,VCCAUX
110,PL62C,-2934.315,-724.257,Unused
111,PL62B,-3021.061,-760.815,Unused
112,VSS,-3118.185,-763.542,GND
113,PL62D,-2934.315,-811.251,Unused
114,PL65A,-3021.061,-845.433,Unused
115,VCC,-3118.185,-848.16,VCC
116,PL65C,-2934.315,-895.869,Unused
117,PL65B,-3021.061,-932.427,Unused
118,VSS,-3118.185,-935.154,GND
119,PL65D,-2934.315,-982.863,Unused
120,PL68A,-3021.061,-1019.421,Unused
121,VSSIO6,-3118.185,-1022.148,GND
122,PL68C,-2934.315,-1069.857,Unused
123,PL68B,-3021.061,-1106.415,Unused
124,VCCIO6,-3118.185,-1109.142,VCCIO6
125,PL68D,-2934.315,-1156.851,Unused
126,PL71A,-3021.061,-1266.651,Unused
127,VSSIO6,-3118.185,-1269.378,GND
128,PL71C,-2934.315,-1317.087,Unused
129,PL71B,-3021.061,-1353.645,Unused
130,VCCIO6,-3118.185,-1356.372,VCCIO6
131,PL71D,-2934.315,-1404.081,Unused
132,PL74A,-3021.061,-1440.639,Unused
133,VCCAUX,-3118.185,-1443.366,VCCAUX
134,PL74C,-2934.315,-1491.075,Unused
135,PL74B,-3021.061,-1527.633,Unused
136,VSS,-3118.185,-1530.36,GND
137,PL74D,-2934.315,-1578.069,Unused
138,PL77A,-3021.061,-1612.251,M5
139,VCC,-3118.185,-1614.978,VCC
140,PL77C,-2934.315,-1662.687,Unused
141,PL77B,-3021.061,-1699.245,Unused
142,VSS,-3118.185,-1701.972,GND
143,PL77D,-2934.315,-1749.681,Unused
144,PL80A,-3021.061,-1786.239,Unused
145,VSSIO6,-3118.185,-1788.966,GND
146,PL80C,-2934.315,-1836.675,Unused
147,PL80B,-3021.061,-1873.233,Unused
148,VCCIO6,-3118.185,-1875.96,VCCIO6
149,PL80D,-2934.315,-1923.669,Unused
150,PL83A,-3021.061,-2023.479,M4
151,VSSIO6,-3118.185,-2026.206,GND
152,PL83C,-2934.315,-2073.915,N4
153,PL83B,-3021.061,-2110.473,N5
154,VCCIO6,-3118.185,-2113.2,VCCIO6
155,PL83D,-2934.315,-2160.909,P5
156,PL86A,-3021.061,-2197.467,N3
157,VCCAUX,-3118.185,-2200.194,VCCAUX
158,PL86C,-2934.315,-2247.903,L3
159,PL86B,-3021.061,-2284.461,M3
160,VSS,-3118.185,-2287.188,GND
161,PL86D,-2934.315,-2334.897,L2
162,PL89A,-3021.061,-2369.079,N2
163,VCC,-3118.185,-2371.806,VCC
164,PL89C,-2934.315,-2419.515,L1
165,PL89B,-3021.061,-2456.073,M1
