pin,name,group
1,VSS,Ground
2,VCC,Power
3,INC,No connect
4,PCHK,Control
5,BRDY,Control
6,BOFF,Control
7,BS16,Control
8,BS8,Control
9,VCC,Power
10,VSS,Ground
11,CLKMUL,Control
12,RDY,Control
13,KEN,Control
14,VCC,Power
15,VSS,Ground
16,HOLD,Control
17,AHOLD,Control
18,TCK,Test/JTAG
19,VCC,Power
20,VCC,Power
21,VSS,Ground
22,VCC,Power
23,VCC,Power
24,CLK,Control
25,VCC,Power
26,HLDA,Control
27,W/R,Control
28,VSS,Ground
29,VCC,Power
30,BREQ,Control
31,BE0,Control
32,BE1,Control
33,BE2,Control
34,BE3,Control
35,VCC,Power
36,VSS,Ground
37,M/IO,Control
38,VCC,Power
39,D/C,Control
40,PWT,Control
41,PCD,Control
42,VCC,Power
43,VSS,Ground
44,VCC,Power
45,VCC,Power
46,EADS,Control
47,A20M,Control
48,RESET,Control
49,FLUSH,Control
50,INTR,Control
51,NMI,Control
52,VSS,Ground
53,VSS,Ground
54,VCC,Power
55,VSS,Ground
56,VCC,Power
57,VSS,Ground
58,SRESET,Control
59,SMIACT,Control
60,VCC,Power
61,VSS,Ground
62,VCC,Power
63,HITM,Control
64,WB/WT,Control
65,SMI,Control
66,FERR,Control
67,INC,No connect
68,TDO,Test/JTAG
69,VCC,Power
70,CACHE,Control
71,INV,Control
72,IGNNE,Control
73,STPCLK,Control
74,D31,Data
75,D30,Data
76,VSS,Ground
77,VCC,Power
78,D29,Data
79,D28,Data
80,VCC,Power
81,VSS,Ground
82,VCC,Power
83,D27,Data
84,D26,Data
85,D25,Data
86,VCC,Power
87,D24,Data
88,VSS,Ground
89,VCC,Power
90,DP3,Data parity
91,D23,Data
92,D22,Data
93,D21,Data
94,VSS,Ground
95,VCC,Power
96,INC,No connect
97,VSS,Ground
98,VCC,Power
99,D20,Data
100,D19,Data
101,D18,Data
102,VCC,Power
103,D17,Data
104,VSS,Ground
105,VSS,Ground
106,VCC,Power
107,VSS,Ground
108,D16,Data
109,DP2,Data parity
110,VSS,Ground
111,VCC,Power
112,D15,Data
113,D14,Data
114,VCC,Power
115,VSS,Ground
116,D13,Data
117,D12,Data
118,D11,Data
119,D10,Data
120,VSS,Ground
121,VCC,Power
122,VSS,Ground
123,D9,Data
124,D8,Data
125,DP1,Data parity
126,D7,Data
127,INC,No connect
128,VCC,Power
129,D6,Data
130,D5,Data
131,VCC,Power
132,VSS,Ground
133,VCC,Power
134,VCC,Power
135,VSS,Ground
136,VCC,Power
137,VCC,Power
138,VSS,Ground
139,VCC,Power
140,D4,Data
141,D3,Data
142,D2,Data
143,D1,Data
144,D0,Data
145,DP0,Data parity
146,VSS,Ground
147,A31,Address
148,A30,Address
149,A29,Address
150,VCC,Power
151,A28,Address
152,A27,Address
153,A26,Address
154,A25,Address
155,VCC,Power
156,VSS,Ground
157,VSS,Ground
158,A24,Address
159,A23,Address
160,A22,Address
161,A21,Address
162,VCC,Power
163,VCC,Power
164,A20,Address
165,A19,Address
166,A18,Address
167,TMS,Test/JTAG
168,TDI,Test/JTAG
169,VCC,Power
170,VSS,Ground
171,A17,Address
172,VCC,Power
173,A16,Address
174,A15,Address
175,VSS,Ground
176,VCC,Power
177,A14,Address
178,A13,Address
179,VCC,Power
180,A12,Address
181,VSS,Ground
182,A11,Address
183,VCC,Power
184,VSS,Ground
185,VCC,Power
186,A10,Address
187,A9,Address
188,VCC,Power
189,VSS,Ground
190,A8,Address
191,VCC,Power
192,A7,Address
193,A6,Address
194,UP,Control
195,A5,Address
196,A4,Address
197,A3,Address
198,VCC,Power
199,VSS,Ground
200,VCC,Power
201,VSS,Ground
202,A2,Address
203,ADS,Control
204,BLAST,Control
205,VCC,Power
206,PLOCK,Control
207,LOCK,Control
208,VSS,Ground
