ball,net,pad_x_um,pad_y_um
W11,ATSTN_D0,-117.747,-3190.275
W10,ATSTP_D0,-189.747,-3190.275
U3,CCLK,-1899.324,-3254.162
U4,CFG_0,-1685.07,-3167.415
T4,CFG_1,-1772.064,-3167.415
R4,CFG_2,-1725.336,-3254.162
Y3,DONE,-1812.33,-3254.162
B14,GND,0.0,0.0
B7,GND,0.0,0.0
C19,GND,0.0,0.0
D4,GND,0.0,0.0
F13,GND,0.0,0.0
F14,GND,0.0,0.0
F7,GND,0.0,0.0
F8,GND,0.0,0.0
G10,GND,0.0,0.0
G11,GND,0.0,0.0
G12,GND,0.0,0.0
G13,GND,0.0,0.0
G14,GND,0.0,0.0
G15,GND,0.0,0.0
G17,GND,0.0,0.0
G4,GND,0.0,0.0
G6,GND,0.0,0.0
G7,GND,0.0,0.0
G8,GND,0.0,0.0
G9,GND,0.0,0.0
H19,GND,0.0,0.0
J10,GND,0.0,0.0
J11,GND,0.0,0.0
J12,GND,0.0,0.0
J14,GND,0.0,0.0
J2,GND,0.0,0.0
J7,GND,0.0,0.0
J9,GND,0.0,0.0
K10,GND,0.0,0.0
K11,GND,0.0,0.0
K12,GND,0.0,0.0
K14,GND,0.0,0.0
K15,GND,0.0,0.0
K6,GND,0.0,0.0
K7,GND,0.0,0.0
K9,GND,0.0,0.0
L10,GND,0.0,0.0
L11,GND,0.0,0.0
L12,GND,0.0,0.0
L9,GND,0.0,0.0
M10,GND,0.0,0.0
M11,GND,0.0,0.0
M12,GND,0.0,0.0
M14,GND,0.0,0.0
M16,GND,0.0,0.0
M2,GND,0.0,0.0
M7,GND,0.0,0.0
M9,GND,0.0,0.0
N14,GND,0.0,0.0
N15,GND,0.0,0.0
N6,GND,0.0,0.0
N7,GND,0.0,0.0
P11,GND,0.0,0.0
P12,GND,0.0,0.0
P13,GND,0.0,0.0
P14,GND,0.0,0.0
P7,GND,0.0,0.0
P8,GND,0.0,0.0
R19,GND,0.0,0.0
U10,GNDA,0.0,0.0
U11,GNDA,0.0,0.0
U12,GNDA,0.0,0.0
U13,GNDA,0.0,0.0
U14,GNDA,0.0,0.0
U7,GNDA,0.0,0.0
U8,GNDA,0.0,0.0
U9,GNDA,0.0,0.0
V12,GNDA,0.0,0.0
V13,GNDA,0.0,0.0
V14,GNDA,0.0,0.0
V15,GNDA,0.0,0.0
V16,GNDA,0.0,0.0
V19,GNDA,0.0,0.0
V20,GNDA,0.0,0.0
V5,GNDA,0.0,0.0
V6,GNDA,0.0,0.0
V7,GNDA,0.0,0.0
V8,GNDA,0.0,0.0
V9,GNDA,0.0,0.0
W12,GNDA,0.0,0.0
W15,GNDA,0.0,0.0
W16,GNDA,0.0,0.0
W19,GNDA,0.0,0.0
W6,GNDA,0.0,0.0
W7,GNDA,0.0,0.0
Y6,HDRXN0_D0CH0,-731.322,-3270.375
Y8,HDRXN0_D0CH1,-479.322,-3270.375
Y15,HDRXN0_D1CH0,447.678,-3270.375
Y17,HDRXN0_D1CH1,699.678,-3270.375
Y5,HDRXP0_D0CH0,-794.322,-3270.375
Y7,HDRXP0_D0CH1,-542.322,-3270.375
Y14,HDRXP0_D1CH0,384.678,-3270.375
Y16,HDRXP0_D1CH1,636.678,-3270.375
W5,HDTXN0_D0CH0,-920.322,-3270.375
W9,HDTXN0_D0CH1,-290.322,-3270.375
W14,HDTXN0_D1CH0,258.678,-3270.375
W18,HDTXN0_D1CH1,888.678,-3270.375
W4,HDTXP0_D0CH0,-983.322,-3270.375
W8,HDTXP0_D0CH1,-353.322,-3270.375
W13,HDTXP0_D1CH0,195.678,-3270.375
W17,HDTXP0_D1CH1,825.678,-3270.375
V3,INITN,-1946.052,-3167.415
W3,PROGRAMN,-1859.058,-3167.415
Y12,REFCLKN_D0,63.603,-3190.275
W20,REFCLKN_D1,1242.603,-3190.275
Y11,REFCLKP_D0,-8.397,-3190.275
Y19,REFCLKP_D1,1170.603,-3190.275
T5,TCK,-1598.076,-3167.415
R5,TDI,-1551.348,-3254.162
V4,TDO,-1638.342,-3254.162
U5,TMS,-1511.082,-3167.415
H10,VCC,0.0,0.0
H11,VCC,0.0,0.0
H12,VCC,0.0,0.0
H13,VCC,0.0,0.0
H8,VCC,0.0,0.0
H9,VCC,0.0,0.0
J13,VCC,0.0,0.0
J8,VCC,0.0,0.0
K13,VCC,0.0,0.0
K8,VCC,0.0,0.0
L13,VCC,0.0,0.0
L8,VCC,0.0,0.0
M13,VCC,0.0,0.0
M8,VCC,0.0,0.0
N10,VCC,0.0,0.0
N11,VCC,0.0,0.0
N12,VCC,0.0,0.0
N13,VCC,0.0,0.0
N8,VCC,0.0,0.0
N9,VCC,0.0,0.0
T6,VCCA0,0.0,0.0
U6,VCCA0,0.0,0.0
T15,VCCA1,0.0,0.0
U15,VCCA1,0.0,0.0
F15,VCCAUX,0.0,0.0
F6,VCCAUX,0.0,0.0
P15,VCCAUX,0.0,0.0
P6,VCCAUX,0.0,0.0
V10,VCCAUXA0,0.0,0.0
V11,VCCAUXA0,0.0,0.0
V17,VCCAUXA1,0.0,0.0
V18,VCCAUXA1,0.0,0.0
T8,VCCHRX0_D0CH0,-762.822,-3350.475
T12,VCCHRX0_D1CH0,416.178,-3350.475
T9,VCCHRX1_D0CH1,-510.822,-3350.475
T13,VCCHRX1_D1CH1,668.178,-3350.475
T7,VCCHTX0_D0CH0,-951.822,-3350.475
T11,VCCHTX0_D1CH0,227.178,-3350.475
T10,VCCHTX1_D0CH1,-321.822,-3350.475
T14,VCCHTX1_D1CH1,857.178,-3350.475
F10,VCCIO0,0.0,0.0
F9,VCCIO0,0.0,0.0
F11,VCCIO1,0.0,0.0
F12,VCCIO1,0.0,0.0
H14,VCCIO2,0.0,0.0
H15,VCCIO2,0.0,0.0
J15,VCCIO2,0.0,0.0
L14,VCCIO3,0.0,0.0
L15,VCCIO3,0.0,0.0
M15,VCCIO3,0.0,0.0
L6,VCCIO6,0.0,0.0
L7,VCCIO6,0.0,0.0
M6,VCCIO6,0.0,0.0
H6,VCCIO7,0.0,0.0
