ball,bank,edge,die_pad,pad_x_um,pad_y_um,dqs_group,special_function,die_row,die_col,pio
A10,0,PT,PT63A,-80.082,3254.162,,PCLKT0_1,0,63,A
A11,0,PT,PT63B,6.912,3254.162,,PCLKC0_1,0,63,B
A6,0,PT,PT4A,-2549.11,3254.162,,ULC_GPLL1T_IN,0,4,A
A7,0,PT,PT18A,-1961.874,3254.162,,,0,18,A
A8,0,PT,PT18B,-1874.88,3254.162,,,0,18,B
A9,0,PT,PT60A,-213.804,3167.415,,GR_PCLK0_1,0,60,A
B10,0,PT,PT60B,-126.81,3167.415,,GR_PCLK0_0,0,60,B
B11,0,PT,PT65A,-39.816,3167.415,,PCLKT0_0,0,65,A
B6,0,PT,PT4B,-2462.117,3254.162,,ULC_GPLL1C_IN,0,4,B
B8,0,PT,PT15B,-2008.602,3167.415,,,0,15,B
B9,0,PT,PT58A,-254.07,3254.162,,,0,58,A
C10,0,PT,PT58B,-167.076,3254.162,,,0,58,B
C11,0,PT,PT65B,47.178,3167.415,,PCLKC0_0,0,65,B
C6,0,PT,PT11A,-2334.856,3167.415,,,0,11,A
C7,0,PT,PT11B,-2247.863,3167.415,,,0,11,B
C8,0,PT,PT15A,-2095.596,3167.415,,,0,15,A
C9,0,PT,PT54A,-497.34,3254.162,,,0,54,A
D10,0,PT,PT56A,-457.074,3167.415,,,0,56,A
D6,0,PT,PT6B,-2421.851,3167.415,,,0,6,B
D7,0,PT,PT9B,-2288.128,3254.162,,,0,9,B
D8,0,PT,PT13B,-2048.868,3254.162,,,0,13,B
D9,0,PT,PT20A,-1921.608,3167.415,,,0,20,A
E10,0,PT,PT56B,-370.08,3167.415,,,0,56,B
E6,0,PT,PT6A,-2508.845,3167.415,,,0,6,A
E7,0,PT,PT9A,-2375.123,3254.162,,,0,9,A
E8,0,PT,PT13A,-2135.862,3254.162,,,0,13,A
E9,0,PT,PT20B,-1834.614,3167.415,,,0,20,B
A12,1,PT,PT76A,570.533,3167.415,,,0,76,A
A13,1,PT,PT76B,657.527,3167.415,,,0,76,B
A14,1,PT,PT83A,892.08,3254.162,,,0,83,A
A15,1,PT,PT103A,1693.548,3167.415,,,0,103,A
A16,1,PT,PT110A,2022.408,3254.162,,,0,110,A
A17,1,PT,PT116A,2289.762,3167.415,,,0,116,A
A18,1,PT,PT119A,2423.484,3254.162,,,0,119,A
A19,1,PT,PT121A,2463.75,3167.415,,URC_GPLL1T_IN,0,121,A
B12,1,PT,PT71A,396.545,3167.415,,PCLKT1_0,0,71,A
B13,1,PT,PT78A,718.092,3254.162,,,0,78,A
B15,1,PT,PT105A,1848.42,3254.162,,,0,105,A
B16,1,PT,PT110B,2109.402,3254.162,,,0,110,B
B17,1,PT,PT114A,2249.496,3254.162,,,0,114,A
B18,1,PT,PT116B,2376.756,3167.415,,,0,116,B
B19,1,PT,PT119B,2510.478,3254.162,,,0,119,B
B20,1,PT,PT121B,2550.744,3167.415,,URC_GPLL1C_IN,0,121,B
C12,1,PT,PT71B,483.538,3167.415,,PCLKC1_0,0,71,B
C13,1,PT,PT78B,805.086,3254.162,,,0,78,B
C14,1,PT,PT83B,979.074,3254.162,,,0,83,B
C15,1,PT,PT105B,1935.414,3254.162,,,0,105,B
C16,1,PT,PT112A,2062.674,3167.415,,,0,112,A
C17,1,PT,PT114B,2336.49,3254.162,,,0,114,B
D11,1,PT,PT69A,356.279,3254.162,,PCLKT1_1,0,69,A
D12,1,PT,PT74A,530.266,3254.162,,GR_PCLK1_0,0,74,A
D13,1,PT,PT80A,758.358,3167.415,,,0,80,A
D14,1,PT,PT85A,932.346,3167.415,,,0,85,A
D15,1,PT,PT107A,1888.686,3167.415,,,0,107,A
D16,1,PT,PT112B,2149.668,3167.415,,,0,112,B
E11,1,PT,PT69B,443.272,3254.162,,PCLKC1_1,0,69,B
E12,1,PT,PT74B,617.261,3254.162,,GR_PCLK1_1,0,74,B
E13,1,PT,PT80B,845.352,3167.415,,,0,80,B
E14,1,PT,PT85B,1019.34,3167.415,,,0,85,B
E15,1,PT,PT107B,1975.68,3167.415,,,0,107,B
C18,2,PR,PR11A,3118.185,2722.068,RDQ17,URC_GPLL0T_IN,11,126,A
C20,2,PR,PR35A,3021.061,1032.624,RDQ41,,35,126,A
D17,2,PR,PR11B,3118.185,2635.074,RDQ17,URC_GPLL0C_IN,11,126,B
D18,2,PR,PR14A,3021.061,2329.083,RDQ17,,14,126,A
D19,2,PR,PR35B,3021.061,945.63,RDQ41,,35,126,B
D20,2,PR,PR35C,2934.315,982.188,RDQ41,VREF1_2,35,126,C
E16,2,PR,PR11C,2934.315,2452.635,RDQ17,,11,126,C
E17,2,PR,PR14B,3021.061,2242.089,RDQ17,,14,126,B
E18,2,PR,PR14C,2934.315,2278.647,RDQ17,,14,126,C
E19,2,PR,PR35D,2934.315,895.194,RDQ41,,35,126,D
E20,2,PR,PR38A,3021.061,858.636,RDQ41,,38,126,A
F16,2,PR,PR11D,2934.315,2365.641,RDQ17,,11,126,D
F17,2,PR,PR17A,3021.061,2157.471,RDQS17,,17,126,A
F18,2,PR,PR14D,2934.315,2191.653,RDQ17,,14,126,D
F19,2,PR,PR38B,3021.061,771.642,RDQ41,,38,126,B
F20,2,PR,PR38C,2934.315,808.2,RDQ41,,38,126,C
G16,2,PR,PR17C,2934.315,2107.035,RDQ17,,17,126,C
G18,2,PR,PR17B,3021.061,2070.477,RDQSN17,,17,126,B
G19,2,PR,PR41A,3021.061,687.024,RDQS41,GR_PCLK2_1,41,126,A
G20,2,PR,PR38D,2934.315,721.206,RDQ41,,38,126,D
H16,2,PR,PR17D,2934.315,2020.041,RDQ17,,17,126,D
H17,2,PR,PR20B,3021.061,1896.489,RDQ17,,20,126,B
H18,2,PR,PR20A,3021.061,1983.483,RDQ17,,20,126,A
