pin,name,group
1,D0,Data
2,GND,Ground
3,HLDA,Control
4,HOLD,Control
5,GND,Ground
6,NA#,Control
7,READY#,Control
8,VCC,Power
9,VCC,Power
10,VCC,Power
11,GND,Ground
12,GND,Ground
13,GND,Ground
14,GND,Ground
15,CLK2,Control
16,ADS#,Control
17,BLE#,Control
18,A1,Address
19,BHE#,Control
20,SMADS#,Control
21,VCC,Power
22,GND,Ground
23,MIO#,Control
24,DC#,Control
25,WR#,Control
26,LOCK#,Control
27,NC,No connect
28,FLT#,Control
29,KEN#,Control
30,FLUSH#,Control
31,A20#,Control
32,VCC,Power
33,RESET,Control
34,BUSY#,Control
35,GND,Ground
36,ERROR#,Control
37,PEREQ,Control
38,NMI,Control
39,VCC,Power
40,INTR,Control
41,GND,Ground
42,VCC,Power
43,SUSP#,Control
44,SUSPA#,Control
45,VCC5,Power
46,NC,No connect
47,SMI#,Control
48,VCC,Power
49,GND,Ground
50,GND,Ground
51,A2,Address
52,A3,Address
53,A4,Address
54,A5,Address
55,A6,Address
56,A7,Address
57,VCC,Power
58,A8,Address
59,A9,Address
60,A10,Address
61,A11,Address
62,A12,Address
63,GND,Ground
64,A13,Address
65,A14,Address
66,A15,Address
67,GND,Ground
68,GND,Ground
69,VCC,Power
70,A16,Address
71,VCC,Power
72,A17,Address
73,A18,Address
74,A19,Address
75,A20,Address
76,A21,Address
77,GND,Ground
78,GND,Ground
79,A22,Address
80,A23,Address
81,D15,Data
82,D14,Data
83,D13,Data
84,VCC,Power
85,GND,Ground
86,D12,Data
87,D11,Data
88,D10,Data
89,D9,Data
90,D8,Data
91,VCC,Power
92,D7,Data
93,D6,Data
94,D5,Data
95,D4,Data
96,D3,Data
97,VCC,Power
98,GND,Ground
99,D2,Data
100,D1,Data
